iter	Passed	Remaining
0	3	308
1	6	301
2	9	300
3	11	285
4	15	298
5	19	304
6	22	293
7	25	293
8	28	286
9	31	282
10	34	279
11	37	278
12	41	275
13	45	276
14	47	271
15	50	267
16	54	263
17	57	262
18	61	260
19	65	260
20	68	256
21	71	252
22	73	247
23	77	243
24	80	240
25	83	237
26	86	234
27	91	234
28	94	231
29	97	227
30	100	224
31	103	220
32	107	217
33	110	214
34	114	212
35	117	209
36	120	204
37	123	200
38	126	197
39	129	194
40	133	191
41	136	188
42	139	185
43	142	181
44	145	177
45	148	174
46	152	171
47	154	167
48	159	165
49	161	161
50	164	158
51	167	154
52	170	151
53	173	147
54	177	144
55	180	142
56	184	139
57	187	135
58	190	132
59	192	128
60	196	125
61	199	122
62	202	118
63	205	115
64	208	112
65	211	108
66	214	105
67	216	102
68	219	98
69	222	95
70	226	92
71	229	89
72	232	85
73	235	82
74	237	79
75	241	76
76	244	72
77	247	69
78	250	66
79	253	63
80	256	60
81	259	56
82	262	53
83	265	50
84	268	47
85	272	44
86	274	40
87	277	37
88	280	34
89	283	31
90	286	28
91	289	25
92	293	22
93	296	18
94	298	15
95	301	12
96	304	9
97	307	6
98	310	3
99	313	0
